,FileName,ColumnList,WindowSize,NumOfPredictDay,Layer,Loss,Optimizer,BatchSize,Epoch,ValidationSplit,ModelName
90,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,10,0.1,90.h5
91,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,50,0.1,91.h5
92,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,1,0.1,92.h5
93,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,5,0.1,93.h5
94,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,10,0.1,94.h5
95,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,50,0.1,95.h5
96,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,1,0.1,96.h5
97,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,5,0.1,97.h5
98,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,10,0.1,98.h5
99,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,50,0.1,99.h5
100,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,1,0.1,100.h5
101,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,5,0.1,101.h5
102,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,10,0.1,102.h5
103,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,50,0.1,103.h5
104,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,1,0.1,104.h5
105,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,5,0.1,105.h5
106,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,10,0.1,106.h5
107,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,50,0.1,107.h5
108,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,30,"[7, 50, 100, 30]",mse,adam,512,1,0.1,108.h5
109,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,30,"[7, 50, 100, 30]",mse,adam,512,5,0.1,109.h5
110,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,30,"[7, 50, 100, 30]",mse,adam,512,10,0.1,110.h5
111,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,30,"[7, 50, 100, 30]",mse,adam,512,50,0.1,111.h5
112,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,3,"[7, 50, 100, 3]",mse,adam,512,1,0.1,112.h5
113,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,3,"[7, 50, 100, 3]",mse,adam,512,5,0.1,113.h5
114,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,3,"[7, 50, 100, 3]",mse,adam,512,10,0.1,114.h5
115,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,3,"[7, 50, 100, 3]",mse,adam,512,50,0.1,115.h5
116,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,7,"[7, 50, 100, 7]",mse,adam,512,1,0.1,116.h5
117,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,7,"[7, 50, 100, 7]",mse,adam,512,5,0.1,117.h5
118,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,7,"[7, 50, 100, 7]",mse,adam,512,10,0.1,118.h5
119,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,7,"[7, 50, 100, 7]",mse,adam,512,50,0.1,119.h5
120,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,10,"[7, 50, 100, 10]",mse,adam,512,1,0.1,120.h5
121,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,10,"[7, 50, 100, 10]",mse,adam,512,5,0.1,121.h5
122,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,10,"[7, 50, 100, 10]",mse,adam,512,10,0.1,122.h5
123,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,10,"[7, 50, 100, 10]",mse,adam,512,50,0.1,123.h5
124,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,1,0.1,124.h5
125,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,5,0.1,125.h5
126,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,10,0.1,126.h5
127,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,50,0.1,127.h5
128,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,1,0.1,128.h5
129,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,5,0.1,129.h5
130,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,10,0.1,130.h5
131,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,50,0.1,131.h5
132,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,1,0.1,132.h5
133,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,5,0.1,133.h5
134,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,10,0.1,134.h5
135,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,50,0.1,135.h5
136,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,1,0.1,136.h5
137,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,5,0.1,137.h5
138,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,10,0.1,138.h5
139,2317.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,50,0.1,139.h5
