,0
2184,031370
2185,031371
2186,031372
2187,031373
2188,031374
2189,031375
2190,031376
2191,031377
2192,031378
2193,031379
2194,03137B
2195,03137C
2196,03137P
2197,03138
2198,031380
2199,031381
2200,031382
2201,031383
2202,031384
2203,031385
2204,031386
2205,031387
2206,031388
2207,031389
2208,03138B
2209,03138C
2210,03138P
2211,03139
2212,031390
2213,031391
2214,031392
2215,031393
2216,031394
2217,031395
2218,031396
2219,031397
2220,031398
2221,031399
2222,03139B
2223,03139C
2224,03139P
2225,0313P
2226,0314
2227,03140
2228,031400
2229,031401
2230,031402
2231,031403
2232,031404
2233,031405
2234,031406
2235,031407
2236,031408
2237,031409
2238,03140B
2239,03140C
2240,03140P
2241,03141
2242,031410
2243,031411
2244,031412
2245,031413
2246,031414
2247,031415
2248,031416
2249,031417
2250,031418
2251,031419
2252,03141B
2253,03141C
2254,03141P
2255,03142
2256,031420
2257,031421
2258,031422
2259,031423
2260,031424
2261,031425
2262,031426
2263,031427
2264,031428
2265,031429
2266,03142B
2267,03142C
2268,03142P
2269,03143
2270,031430
2271,031431
2272,031432
2273,031433
2274,031434
2275,031435
2276,031436
2277,031437
2278,031438
2279,031439
2280,03143B
2281,03143C
2282,03143P
2283,03144
2284,031440
2285,031441
2286,031442
2287,031443
2288,031444
2289,031445
2290,031446
2291,031447
2292,031448
2293,031449
2294,03144B
2295,03144C
2296,03144P
2297,03145
2298,031450
2299,031451
2300,031452
2301,031453
2302,031454
2303,031455
2304,031456
2305,031457
2306,031458
2307,031459
2308,03145B
2309,03145C
2310,03145P
2311,03146
2312,031460
2313,031461
2314,031462
2315,031463
2316,031464
2317,031465
2318,031466
2319,031467
2320,031468
2321,031469
2322,03146B
2323,03146C
2324,03146P
2325,03147
2326,031470
2327,031471
2328,031472
2329,031473
2330,031474
2331,031475
2332,031476
2333,031477
2334,031478
2335,031479
2336,03147B
2337,03147C
2338,03147P
2339,03148
2340,031480
2341,031481
2342,031482
2343,031483
2344,031484
2345,031485
2346,031486
2347,031487
2348,031488
2349,031489
2350,03148B
2351,03148C
2352,03148P
2353,03149
2354,031490
2355,031491
2356,031492
2357,031493
2358,031494
2359,031495
2360,031496
2361,031497
2362,031498
2363,031499
2364,03149B
2365,03149C
2366,03149P
2367,0315
2368,03150
2369,031500
2370,031501
2371,031502
2372,031503
2373,031504
2374,031505
2375,031506
2376,031507
2377,031508
2378,031509
2379,03150B
2380,03150C
2381,03150P
2382,03151
2383,031510
2384,031511
